RAZON_SOCIAL,DEPARTAMENTO,PROVINCIA,DISTRITO,TIPO,MOVIL,FIJO,CORREO,WEB,RUC,DIRECCION
COOPERATIVA AGRARIA CAFETALERA ECOLOGICO ALTO PALOMAR,JUNIN,CHANCHAMAYO,SAN LUIS DE SHUARO,COOPERATIVAS AGRARIAS CAFETALERAS,995466808,,CACEALTOPALOMAR@GMAIL.COM,,20485945815,CARRETERA CARRETERA A SANCHIRIO SN Interior 1 Piso 1 Mza  Lote  Km 7
COOPERATIVA AGRARIA DE SERVICIOS CAFE HEMALU DE LOS BOSQUES DEL INKA,JUNIN,CHANCHAMAYO,SAN LUIS DE SHUARO,COOPERATIVAS AGRARIAS CAFETALERAS,957521150,01-2634879,COOPCHEBI@TERRA.COM.PE,WWW.COOPCHEBI.COM,20486054949,CARRETERA CAMINO A SANCHIRIO SN Interior 1 Piso 1 Mza  Lote  Km 7
COOPERATIVA AGRARIA DE FRUTOS ECOLOGICOS SANCHIRIO PALOMAR,JUNIN,CHANCHAMAYO,SAN LUIS DE SHUARO,COOPERATIVAS AGRARIAS,955699004,064-783634,CAFESANCHIRIO@HOTMAIL.COM,,20486299895,CARRETERA SANCHIRIO PALOMAR SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA CAFETALERA SHANKIVIRONI,JUNIN,CHANCHAMAYO,PICHANAQUI,COOPERATIVAS AGRARIAS CAFETALERAS,961518059,064-347020,CAC.SHANKIVIRONI@GMAIL.COM,,20600472373,JIRÓN 24 DE SETIEMBRE 1050 Interior 1 Piso 2 Mza  Lote  Km
COOPERATIVA AGROPECUARIA INDUSTRIAL SELVA ECOLÓGICA,JUNIN,CHANCHAMAYO,PICHANAQUI,COOPERATIVAS AGROPECUARIAS,979516906,,COOPERATIVA-CAISE@HOTMAIL.COM,,20600657128,JIRÓN 7 DE JUNIO 715 Interior 1 Piso 1 Mza  Lote  Km
COOPERATIVA AGROECOLOGICA EL CAFECITO - PICHANAQUI,JUNIN,CHANCHAMAYO,PICHANAQUI,COOPERATIVAS AGRARIAS,990822849,,COOPERATIVAAGROECOLOGICA@GMAIL.COM,,20601063922,CALLE SANTO TORIBIO 621 Interior 1 Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA CAFETALERA CAMPO CAFE,JUNIN,CHANCHAMAYO,PICHANAQUI,COOPERATIVAS AGRARIAS CAFETALERAS,954050707,,CAC.CAMPOCAFE@GMAIL.COM,,20601193923,JIRÓN 7 DE JUNIO 610 Interior 1 Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA CAFETALERA ORIGEN PERU,JUNIN,CHANCHAMAYO,PICHANAQUI,COOPERATIVAS AGRARIAS CAFETALERAS,962870318,,,,20601329868,JIRÓN RAMON CASTILLA SN Interior 1 Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA CAFETALERA SELVA ALTA,JUNIN,CHANCHAMAYO,PICHANAQUI,COOPERATIVAS AGRARIAS CAFETALERAS,971003334,,CACSELVALT@HOTMAIL.COM,,20486389371,AVENIDA MICAELA BASTIDAS 880 Interior 1 Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA CAFETALERA TAHUANTINSUYO,JUNIN,CHANCHAMAYO,PICHANAQUI,COOPERATIVAS AGRARIAS CAFETALERAS,971111559,064-347918,GERENCIA@CACTAHUANTINSUYO.COM,,20226738747,AVENIDA CIRCUNVALACION SN Interior 2 Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA CAFETALERA VALLE KUVIRIANI,JUNIN,CHANCHAMAYO,PICHANAQUI,COOPERATIVAS AGRARIAS CAFETALERAS,996533513,064-634140,CAC-KUVIRIANI@HOTMAIL.COM,,20485996720,JIRÓN ANDRES AVELINO CACERES 760 Interior 1 Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA ECOLOGICA CACAOTERA VALLE RIO ENE - COOPAVRE,JUNIN,SATIPO,SATIPO,COOPERATIVAS AGRARIAS,988698301,,COOPAVRE2010@GMAIL.COM,,20487242994,AVENIDA MICAELA BASTIDAS 839 Interior 1 Piso 1 Mza  Lote  Km
CACE HUAHUARI,JUNIN,SATIPO,SATIPO,COOPERATIVAS AGRARIAS,972693731,,,,20600125649,JIRÓN 28 DE JULIO 742 Interior 1 Piso 1 Mza  Lote  Km
C.A.C. VALLE MARANKIARI,JUNIN,SATIPO,SATIPO,COOPERATIVAS AGRARIAS CAFETALERAS,949275948,,,,20600229011,CARRETERA MONTERRICO - MARANKIARI SN Interior 1 Piso 1 Mza  Lote  Km
COOPERATIVA DE SERVICIOS AGRARIOS DE PEQUEÑOS PRODUCTORES DE JENGIBRE Y CÚRCUMA ORGÁNICOS SATIPO MAMA ROSA,JUNIN,SATIPO,SATIPO,COOPERATIVAS AGRARIAS,945455322,,COOPERATIVAMAMAROSA@GMAIL.COM,,20601661757,JIRÓN AUGUSTO B. LEGUIA 960 Interior 1 Piso 1 Mza  Lote  Km
COOPERATIVA AGROPECUARIA CAFETALERA ECOLOGICA VALLE SANTA CRUZ - RIO TAMBO LTDA,JUNIN,SATIPO,SATIPO,COOPERATIVAS AGROPECUARIAS,966002302,064-545164,CACE_VALLESANTACRUZ@HOTMAIL.COM,WWW.CAFEVALLESANTACRUZ.COM,20486388561,JIRÓN JULIO C. TELLO 537 Interior 1 Piso 1 Mza  Lote  Km
COOPERATIVA AGROINDUSTRAL SELVA CENTRAL COVIRIALI LTDA,JUNIN,SATIPO,COVIRIALI,COOPERATIVAS AGROINDUSTRIALES,967097383,,,,20600993241,CALLE ESQUINA CALLE 04 Y CALLE 01 SN Interior 1 Piso 1 Mza  Lote  Km
COOP BESACARI - PERU,JUNIN,SATIPO,LLAYLLA,COOPERATIVAS AGRARIAS,993928318,,COOPBESACARI.PERU@GMAIL.COM,,20601667526,CALLE BOLIVAR SN Interior 1 Piso 1 Mza A Lote 20 Km
COOPERATIVA CACAOTERA AGROECOLOGICA TURISTICA VALLE RÍO ENE,JUNIN,SATIPO,MAZAMARI,COOPERATIVAS AGRARIAS,954845228,,,,20600421922,OTRO NAZCA SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA SANGARENI,JUNIN,SATIPO,PANGOA,COOPERATIVAS AGRARIAS,985743002,,SANGARENICOOP@GMAIL.COM,,20486255090,AVENIDA SONOMORO 199 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGROINDUSTRIAL SONOMORO LTDA,JUNIN,SATIPO,PANGOA,COOPERATIVAS AGROINDUSTRIALES,967989871,,CAISONOMORO1@HOTMAIL.COM,,20486668335,AVENIDA SONOMORO SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGROECOLOGICA GRANOS DE ORO DEL VALLE DE PANGO,JUNIN,SATIPO,PANGOA,COOPERATIVAS AGRARIAS,949022286,,COOAGROPANGOA@GMAIL.COM,,20600284992,CALLE 3 DE NOVIEMBRE 432 Interior  Piso 1 Mza 18 Lote A-3 Km
COOPERATIVA AGRARIA DE PRODUCTORES ASHANINKAS KEMITO-ENE LTDA,JUNIN,SATIPO,PANGOA,COOPERATIVAS AGRARIAS,954862012,064-545670,RUTHBUENDIARIOENE@GMAIL.COM,,20601601142,JIRÓN FRANCISCO IRAZOLA 1401 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGROINDUSTRIAL DE JOVENES LTDA.,JUNIN,SATIPO,PANGOA,COOPERATIVAS AGROINDUSTRIALES,995881787,,COOPDEJOVENES@GMAIL.COM,,20600724089,AVENIDA RIO ENE SN Interior  Piso 1 Mza A Lote 17 Km
COOPERATIVA AGROECOLOGICO CAFÉ  CACAO DE ORIGEN D,JUNIN,SATIPO,PANGOA,COOPERATIVAS AGRARIAS,935980104,,COOP.ECOVRAE@GMAIL.COM,WWW.ECOVRAE.COM,20541443933,AVENIDA SONOMORO O Interior  Piso 1 Mza E Lote 16 Km
COOPERATIVA AGROINDUSTRIAL Y DE SERVICIOS MULTIPLES VALLE KIATARI-PANGOA LTDA.,JUNIN,SATIPO,PANGOA,COOPERATIVAS AGROINDUSTRIALES,995746041,,COOPVALLEKIATARI@GMAIL.COM,,20573906030,CALLE CAMPIRUSHARI SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA INDUSTRIAL APASC SANCORE-PALCAZU LTDA.,PASCO,OXAPAMPA,PALCAZU,COOPERATIVAS AGROINDUSTRIALES,951969581,,APASC.SANCORE@GMAIL.COM,,20568549083,AVENIDA FERNANDO WESTREICHER SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA DE PRODUCTOS BIO ORGANICOS Y GRANOS ANDINOS DE VIRACO - COOPRORGANIC,AREQUIPA,CASTILLA,VIRACO,COOPERATIVAS AGRARIAS,958522276,,,,20601106699,CALLE HERMEGILDO GUZMAN NRO. S/N (A 30 METROS DE LA PLAZA DE GRAU) SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA DE USUARIOS VEINTICUATRO DE JUNIO LIMITADA NRO.2,AREQUIPA,AREQUIPA,CAYMA,COOPERATIVAS AGROPECUARIAS,959644297,,PERICOA11@HOTMAIL.COM,,20600928598,JIRÓN QUIÑONES SN Interior  Piso 1 Mza S1 Lote 4 Km
COOPERATIVA AGRARIA DE USUARIOS CHARACTA,AREQUIPA,CAMANA,NICOLAS DE PIEROLA,COOPERATIVAS AGRARIAS,969866718,,,,20203801107,CALLE BOLOGNESI 204 Interior  Piso 1 Mza Ñ Lote 3 Km
COOPERATIVA AGRARIA SAN ISIDRO LTDA.,AREQUIPA,AREQUIPA,LA JOYA,COOPERATIVAS AGRARIAS,943123965,,,,20129964201,AVENIDA SN SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA DE PRODUCCION Y SERVICIOS AGROPECUARIOS VIRGEN DE LAS PEÑAS LTDA. - COVIRPE LTDA.,TACNA,TACNA,TACNA,COOPERATIVAS AGROPECUARIAS,954461008,,HUALLPA_T@HOTMAIL.COM,,20533047611,CALLE SN SN Interior  Piso 1 Mza A Lote 13 Km
COOPERATIVA AGRARIA LOCUMBA LTDA.,TACNA,JORGE BASADRE,LOCUMBA,COOPERATIVAS AGRARIAS,920246077,,,,20159066348,CALLE BOLOGNESI 119 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGROPECUARIA DE SERVICIOS MULTIPLES SANTA FORTUNATA LTDA.,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,COOPERATIVAS AGROPECUARIAS,956889493,,,,20219770121,CALLE PIURA 148 Interior  Piso 2 Mza  Lote  Km
COOPERATIVA AGRARIA LA ESPERANZA ES MAJE,AREQUIPA,CAYLLOMA,MAJES,COOPERATIVAS AGRARIAS,958854374,054-586535,CALEM_10@HOTMAIL.COM,,20130891676,CALLE PRINCIPAL SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA CAL PEDREGAL IRRIGACION MAJES COACPIM,AREQUIPA,CAYLLOMA,MAJES,COOPERATIVAS AGRARIAS,959595974,,APLELPEDREGAL@HOTMAIL.COM,,20601647584,OTRO SN 547 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA FUNDO EL PEDREGAL HUILLUCO,AREQUIPA,CASTILLA,CHILCAYMARCA,COOPERATIVAS AGRARIAS,965650526,,,,20456255591,OTRO HUILLUCO SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA DE USUARIOS LA VENTA-A,ICA,ICA,SANTIAGO,COOPERATIVAS AGRARIAS,944956603,,CAU.VENTAALTA@OUTLOOK.COM,,20113514761,CARRETERA SN SN Interior 0 Piso 1 Mza  Lote  Km 323
COOPERATIVA AGRARIA DE USUARIOS  LA VENTA LTDA.,ICA,ICA,SANTIAGO,COOPERATIVAS AGRARIAS,971499466,,,,20191162553,OTRO LA VENTA SN Interior 0 Piso 1 Mza E Lote 5 Km
COOPERATIVA AGRARIA DE USUARIOS ATALAYA LTDA.,ICA,ICA,PACHACUTEC,COOPERATIVAS AGRARIAS,955940222,,CAUATALAYA@HOTMAIL.COM,,20192389110,CARRETERA PANAMERICANA SUR SN Interior 0 Piso 1 Mza  Lote  Km 312
COOPERATIVA AGRARIA DE SERVICIOS FIBRAS PERUANAS -  VALLE DE PISCO LTDA.,ICA,PISCO,INDEPENDENCIA,COOPERATIVAS AGRARIAS,976572057,,COFIPE.P@GMAIL.COM,,20534604450,CARRETERA LOS LIBERTADORES SN Interior 0 Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA DE SERVICIOS AGRO-INKA C.P.P. LTDA.,ICA,PISCO,INDEPENDENCIA,COOPERATIVAS AGRARIAS,959423665,,,,20494994772,CARRETERA LOS LIBERTADORES SN Interior 0 Piso 1 Mza  Lote  Km 19
COOPERATIVA AGRARIA DE SERVICIOS NUEVA FORTALEZA,ICA,PISCO,HUMAY,COOPERATIVAS AGRARIAS,968495820,,,,20600842871,CALLE INDEPENDENCIA SN Interior 0 Piso 1 Mza 26 Lote 7 Km
COOPERATIVA AGRARIA DE USUARIOS 24 DE JUNIO LTDA.,ICA,CHINCHA,CHINCHA BAJA,COOPERATIVAS AGRARIAS,964944426,056-786775,,,20115372786,OTRO COLLAZOS SN Interior  Piso 1 Mza B Lote 9 Km
COOPERATIVA AGRARIA DE SERVICIOS DE MEDIANOS Y PEQUEÑOS PRODUCTORES AFRO CULTURAL LOS CHINCHAS LTDA.,ICA,CHINCHA,CHINCHA ALTA,COOPERATIVAS AGRARIAS,956949460,,,,20535033065,CALLE LUIS MASSARO 197 Interior 0 Piso 1 Mza  Lote  Km
COOPERATIVA AGROINDUSTRIAL CHINCHA LTDA.,ICA,CHINCHA,CHINCHA ALTA,COOPERATIVAS AGROINDUSTRIALES,956844809,,APPAV.CHINCHA@GMAIL.COM,,20601371481,CALLE MARISCAL RAMON CASTILLA 370 Interior 0 Piso 2 Mza  Lote  Km
COOPERATIVA AGRARIA GUERCHIN,ICA,CHINCHA,CHINCHA ALTA,COOPERATIVAS AGRARIAS,945916509,01-3426714,COOPGERCHIN@GMAIL.COM,,20600208501,CALLE PISCO 284 Interior 0 Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA DE USUARIOS SINCHI R,ICA,CHINCHA,EL CARMEN,COOPERATIVAS AGRARIAS,956629816,,,,20163253683,OTRO SAN REGIS SN Interior 0 Piso 1 Mza  Lote 52 Km
COOPERATIVA AGRARIA USUARIOS MANCO CAPAC LTDA.,ICA,CHINCHA,EL CARMEN,COOPERATIVAS AGRARIAS,955963617,,,,20115380967,OTRO GUAYABO SN Interior 0 Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA DE USUARIOS MAYTA CAPAC LTDA,ICA,CHINCHA,EL CARMEN,COOPERATIVAS AGRARIAS,934829402,,,,20534335611,OTRO SAN JOSE SN Interior 0 Piso 1 Mza B Lote 28 Km
COOPERATIVA AGRARIA DE USUARIO CHINCHAYSUYO,ICA,CHINCHA,EL CARMEN,COOPERATIVAS AGRARIAS,956879924,,,,20104480773,OTRO HOJA REDONDA SN Interior 0 Piso 1 Mza A Lote SN Km
COOPERATIVA AGRARIA DE USUARIOS ATAHUALPA LTDA.,ICA,CHINCHA,EL CARMEN,COOPERATIVAS AGRARIAS,956835213,,,,20104516981,OTRO LAS HUACAS SN Interior 0 Piso 1 Mza B Lote 24 Km
C A T RAMON CASTILLA LTDA.,ICA,NAZCA,NAZCA,COOPERATIVAS AGRARIAS,956335435,,,,20228206564,OTRO SOYSONGO SN Interior 0 Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA DE USUARIOS LA FORTALEZA LTDA.,LIMA,CAÑETE,SAN VICENTE DE CAÑETE,COOPERATIVAS AGRARIAS,942803857,,CAULAFORTALEZA@HOTMAIL.COM,,20491272512,CALLE SN SN Interior  Piso 1 Mza M Lote 2 Km
LA COOPERATIVA AGRARIA PYRKAS,LIMA,CAÑETE,IMPERIAL,COOPERATIVAS AGRARIAS,973846520,01-284832,AGRAFER67@HOTMAIL.COM,,20600127714,JIRÓN EL CARMEN 469 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRO INDUSTRIAL CABANA LTDA,PUNO,SAN ROMAN,CABANA,COOPERATIVAS AGROINDUSTRIALES,980278888,,,WWW.COPAINCABANA.COM,20448277781,AVENIDA LORETO SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA SAN GABAN LIMITADA,PUNO,CARABAYA,SAN GABAN,COOPERATIVAS AGRARIAS,962639808,,CAISANGABAN@GMAIL.COM,,20447888701,AVENIDA 15 DE OCTUBRE SN Interior  Piso 2 Mza  Lote  Km
COOPERATIVA AGROPECUARIA DE SERVICIOS INTEGRALES AJOYANI,PUNO,CARABAYA,AJOYANI,COOPERATIVAS AGROPECUARIAS,967656765,,,,20542670968,AVENIDA INAMBARI 616 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA CAFETELERA SAN ISIDRO LTDA.,PUNO,SANDIA,YANAHUAYA,COOPERATIVAS AGRARIAS CAFETALERAS,951154592,,,,20146265732,JIRÓN LAS ROSAS SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA CAFETALERA SAN JUAN DEL ORO LTDA.,PUNO,SANDIA,SAN JUAN DEL ORO,COOPERATIVAS AGRARIAS CAFETALERAS,951660966,051-405466,MATEOQ16@HOTMAIL.COM,,20114942937,AVENIDA AUGUSTO B. LEGUIA SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA CAFETALERA DE SERVICIOS MULTIPLES Y DE CONSUMO CHARUYO LTDA.,PUNO,SANDIA,SAN JUAN DEL ORO,COOPERATIVAS AGRARIAS CAFETALERAS,986387781,,,,20185895671,AVENIDA AGRICULTURA 131 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA CAFETALERA SAN IGNACIO LTDA.,PUNO,SANDIA,SAN PEDRO DE PUTINA PUNCO,COOPERATIVAS AGRARIAS CAFETALERAS,988619064,,,,20145484597,JIRÓN PROGRESO SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA CAFETALERA TUPAC AMARU LTDA.,PUNO,SANDIA,ALTO INAMBARI,COOPERATIVAS AGRARIAS CAFETALERAS,984412747,,,,20185883664,JIRÓN MARINO CISNEROS 157 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA CAFETALERA VALLE GDE,PUNO,SANDIA,ALTO INAMBARI,COOPERATIVAS AGRARIAS CAFETALERAS,992763073,,,,20233074561,JIRÓN SANTA ROSA 351 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA DE TRABAJADORES QUISUNI,PUNO,MELGAR,ORURILLO,COOPERATIVAS AGRARIAS,951449586,,,,20406337406,OTRO SN SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGROINDUSTRIAL SANTA ROSA LTDA.,PUNO,MELGAR,SANTA ROSA,COOPERATIVAS AGROINDUSTRIALES,974700301,,,,20542689634,CALLE AREQUIPA 188 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA A.P. HUAYCHO LTDA. N° 44,PUNO,MELGAR,NUÑOA,COOPERATIVAS AGRARIAS,951884175,,,,20406182364,JIRÓN ARICA 325 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA PURIFOR - COOP PURIFOR,ANCASH,BOLOGNESI,COLQUIOC,COOPERATIVAS AGRARIAS,965933442,,COOPPURIFOR@GMAIL.COM,,20407808666,JIRÓN SAN JUAN SN Interior  Piso 2 Mza  Lote  Km
COOPERATIVA AGRARIA VALLE HUARMEY - CULEBRAS,ANCASH,HUARMEY,HUARMEY,COOPERATIVAS AGRARIAS,999667202,043-354827,HUARMEYCOOP@GMAIL.COM,,20600170814,CALLE AIJA SN Interior  Piso 1 Mza R Lote 8-10 Km
COOPERATIVA AGRARIA LA FORTALEZA DE VIRU,LA LIBERTAD,VIRU,VIRU,COOPERATIVAS AGRARIAS,999526690,044-396593,CARLOSBACA7@HOTMAIL.COM,,20600788478,AVENIDA VIRU 260 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA INDUSTRIAL LA LIBERTAD,LA LIBERTAD,TRUJILLO,HUANCHACO,COOPERATIVAS AGROINDUSTRIALES,950008687,044-273173,COOPAI_LALIBERTAD@HOTMAIL.COM,,20600519973,CALLE GARCILAZO DE LA VEGA SN Interior  Piso 1 Mza 4 Lote 13 Km
COOPERATIVA DE PRODUCTORES AGRICOPECUARIOS OTUZCO ANDINO,LA LIBERTAD,OTUZCO,OTUZCO,COOPERATIVAS AGRARIAS,948483791,,VILMA_AG_6@HOTMAIL.COM,,20601142741,PASAJE GARCILAZO DE LA VEGA 139 Interior  Piso 1 Mza  Lote  Km
SOCIEDAD AGRICOLA DE INTERES SOCIAL 24 DE JUNIO LTDA.,LA LIBERTAD,OTUZCO,OTUZCO,COOPERATIVAS AGRARIAS,937772471,,,,20482415815,CALLE TRUJILLO 1305 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA ALTO ANDINA CHUGAY,LA LIBERTAD,SANCHEZ CARRION,CHUGAY,COOPERATIVAS AGRARIAS,921279662,,,,20600370619,CALLE SN SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA ECOLOGICA MARKAHUAMACHUCO,LA LIBERTAD,SANCHEZ CARRION,HUAMACHUCO,COOPERATIVAS AGRARIAS,959972351,,COOPECOMARKA@GMAIL.COM,,20601125715,AVENIDA 10 DE JULIO 702 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGROECOLOGICA GRANO ANDINO DISTRITO DE SARTIMBAMBA COOP GRANO ANDINO,LA LIBERTAD,SANCHEZ CARRION,HUAMACHUCO,COOPERATIVAS AGRARIAS,990903765,,COOPGRANOANDINO@GMAIL.COM,,20600588355,JIRÓN MIRAFLORES 784 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA DE SERVICIOS MULTIPLES VALLE PRODUCTIVO - COOPEVALLE,LA LIBERTAD,CHEPEN,PACANGA,COOPERATIVAS AGRARIAS,998536305,,JNUNEZYEPEZ@GMAIL.COM,WWW.COPEVALLE.COM,20601221463,CALLE PEDRO CACERES SN Interior  Piso 1 Mza F Lote 8 Km
COOPERATIVA AGRARIA LLIPTA,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,COOPERATIVAS AGRARIAS,982815839,,,,20600264053,CALLE AMERICA 700 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA SAN PEDRO DE LOS INC AS LTDA.,TUMBES,TUMBES,CORRALES,COOPERATIVAS AGRARIAS,956725340,072-441098,COOPERATIVASANPEDRO1@HOTMAIL.COM,,20132681938,AVENIDA PIURA 100 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA LOS AMBIENTALISTAS LTDA.,PIURA,PIURA,PIURA,COOPERATIVAS AGRARIAS,934944607,073-594331,,WWW.CACSANTAISABEL.COM.PE,20601164931,CALLE LIBERTAD 407 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA NORANDINO LTDA..- COOP. NORANDINO,PIURA,PIURA,PIURA,COOPERATIVAS AGRARIAS,981872410,073-344983,COOPNORANDINO@COOPNORANDINO.COM.PE,WWW.COOPNORANDINO.COM.PE,20525416543,AVENIDA LOS DIAMANTES SN Interior  Piso 1 Mza X Lote 3-4 Km
"COOPERATIVA AGRARIA DE PRODUCTORES DE BANANO, CACAO ORGANICO Y OTROS CULTIVOS AGRARIOS LTDA.",PIURA,MORROPON,BUENOS AIRES,COOPERATIVAS AGRARIAS,968245276,,ASPROBO@COOPASPROBO.PE,WWW.COOPASPROBO.PE,20525969551,CALLE B SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA DE PRODUCTORES DE BANANO ORGANICO PIURA LA VIEJA- BATANES,PIURA,MORROPON,LA MATANZA,COOPERATIVAS AGRARIAS,980032156,,COOPBATANESPIURALAVIEJA@HOTMAIL.COM,,20530350861,CALLE SN SN Interior  Piso 1 Mza A Lote 6 Km
COOPERATIVA AGRARIA DE BANANEROS ORGANICOS SEÑOR DE CHOCAN DE SAN VICENTE DE PIEDRA RODADA,PIURA,SULLANA,SULLANA,COOPERATIVAS AGRARIAS,948335606,,ASOCIACION_SV_PR@HOTMAIL.COM,,20525692141,CALLE SAN JOSE SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA APPBOSA,PIURA,SULLANA,MARCAVELICA,COOPERATIVAS AGRARIAS,969412141,,APPBOSA@YAHOO.COM,WWW.APPBOSA.COM,20484062031,OTRO NUEVA ESPERANZA SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA APBOSMAM,PIURA,SULLANA,MARCAVELICA,COOPERATIVAS AGRARIAS,976398159,,APBOSMAN_2007@YAHOO.ES,WWW.APBOSMAN.COM,20525545866,CALLE SANCHEZ CERRO SN Interior  Piso 1 Mza  Lote  Km
CAPEBOSAN - JIBITO,PIURA,SULLANA,MIGUEL CHECA,COOPERATIVAS AGRARIAS,955777017,,CAPEBOSAN.PERU@GMAIL.COM,,20600058186,CALLE SANTA ROSA 209 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA DE SERVICIOS MULTIPLES TALLAN CHUSIS LTDA. - COSTACH LTDA.,PIURA,PIURA,CATACAOS,COOPERATIVAS AGRARIAS,969558396,073-515163,COSTACHLTDA@HOTMAIL.COM,,20525618332,JIRÓN MARIANO DIAZ 1021 Interior  Piso 1 Mza  Lote  Km
COSATIN LTDA.,APURIMAC,ABANCAY,ABANCAY,COOPERATIVAS AGROPECUARIAS,983614928,083-322840,EBENEZERTINTAY@GMAIL.COM,,20490316966,AVENIDA DIAZ BARCENAS 902 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGROINDUSTRIAL TIERRA ANDINA APURIMAC LTDA. - CATAA LTDA.,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,COOPERATIVAS AGROINDUSTRIALES,981889166,,VCCASAQ@HOTMAIL.COM,,20600998847,AVENIDA SESQUICENTENARIO SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA CAFETALERA VALLE DE INCAHUASI,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,COOPERATIVAS AGRARIAS CAFETALERAS,983615926,,CACVIPERU@YAHOO.ES,WWW.CAC-INCAHUASI.COM,20527565376,AVENIDA SAN ANTONIO 418 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA DE SERVICIOS MULTIPLES CUY CHANKA - COASERCUY,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,COOPERATIVAS AGRARIAS,988808880,,,,20564260275,AVENIDA LOS CEDROS 710 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA NIÑO JESUS DE HUANCARAY - COO HUANCARAY,APURIMAC,ANDAHUAYLAS,HUANCARAY,COOPERATIVAS AGRARIAS,973864698,,,,20564244075,JIRÓN COMERCIO 372 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA DE SERVICIOS MULTIPLES TESORO CHANKA DE KISHUARA - COOPAGROS - KISHUARA,APURIMAC,ANDAHUAYLAS,KISHUARA,COOPERATIVAS AGRARIAS,983954262,083-631387,COPAGROS2012@HOTMAIL.COM,,20491204436,AVENIDA AREQUIPA 312 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA LOS CHANKAS - CAGCH,APURIMAC,ANDAHUAYLAS,SAN JERONIMO,COOPERATIVAS AGRARIAS,999996362,,JORTIZCOOPAGRARIALOSCHANKAS@GMAIL.COM,,20564385302,JIRÓN AMARGURA 514 Interior  Piso 1 Mza  Lote  Km
